roll_actual,pitch_actual,yaw_actual,roll_cmd,pitch_cmd,yaw_cmd,throttle_cmd,throttle_1,throttle_2,throttle_3,throttle_4,roll_modeled,pitch_modeled,yaw_modeled
4.0,-1.3,-4.8,3.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,10.4,50528.7,-380.8
4.1,-1.3,-4.8,3.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,11.7,50538.4,-381.9
4.1,-1.3,-4.8,3.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,13.1,50548.1,-383.2
4.2,-1.3,-4.8,3.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,14.6,50557.8,-384.5
4.2,-1.3,-4.8,3.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,16.3,50567.5,-386.0
4.3,-1.3,-4.8,3.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,18.1,50577.1,-387.7
4.4,-1.3,-4.8,3.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,20.2,50586.6,-389.7
4.4,-1.3,-4.8,4.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,22.6,50596.0,-391.9
4.5,-1.3,-4.8,4.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,25.4,50605.2,-394.6
4.6,-1.3,-4.8,4.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,28.8,50614.2,-397.9
4.7,-1.3,-4.8,4.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,33.0,50622.9,-402.0
4.7,-1.3,-4.8,4.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,38.4,50631.2,-407.4
4.8,-1.3,-4.8,4.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,45.8,50639.1,-414.8
4.8,-1.3,-4.8,4.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,56.3,50646.2,-425.5
4.9,-1.3,-4.8,4.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,72.4,50652.1,-441.7
4.9,-1.3,-4.8,4.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,97.7,50656.0,-467.2
5.0,-1.3,-4.8,4.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,133.1,50656.2,-502.7
5.0,-1.3,-4.8,4.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,162.6,50651.5,-532.3
5.1,-1.3,-4.8,4.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,174.7,50644.1,-544.2
5.2,-1.3,-4.8,4.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,179.8,50636.2,-549.2
5.2,-1.3,-4.9,4.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,182.5,50628.3,-551.9
5.3,-1.3,-4.9,4.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,184.2,50620.4,-553.6
5.3,-1.3,-4.9,4.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,185.4,50612.6,-554.8
5.3,-1.3,-4.9,4.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,186.2,50604.8,-555.8
5.4,-1.3,-4.9,4.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,186.8,50597.1,-556.5
5.4,-1.3,-4.9,4.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,187.2,50589.4,-557.2
5.5,-1.3,-4.9,4.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,187.5,50581.8,-557.9
5.5,-1.3,-4.9,4.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,187.6,50574.1,-558.5
5.6,-1.3,-4.9,4.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,187.6,50566.5,-559.2
5.6,-1.3,-4.9,4.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,187.5,50558.9,-559.8
5.6,-1.3,-4.9,4.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,187.3,50551.3,-560.6
5.7,-1.3,-4.9,4.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,186.9,50543.6,-561.4
5.7,-1.3,-4.9,4.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,186.3,50535.8,-562.4
5.8,-1.3,-4.9,4.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,185.5,50528.0,-563.7
5.8,-1.3,-4.9,4.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,184.1,50520.2,-565.4
5.8,-1.3,-4.9,4.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,182.1,50512.3,-567.8
5.8,-1.3,-4.9,4.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,178.5,50504.3,-571.8
5.9,-1.3,-4.9,4.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,170.7,50496.4,-580.1
5.9,-1.3,-4.9,4.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,143.4,50488.7,-608.1
5.9,-1.3,-4.9,4.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,433.2,50483.3,-319.2
6.0,-1.3,-4.9,4.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,497.3,50487.5,-256.4
6.0,-1.3,-5.0,4.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,656.3,50482.7,-99.0
6.0,-1.3,-5.0,4.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,593.8,50484.6,-163.9
